    cloud,memory,useQueue,options,completed,errors,retries,cost,executionLatency,billedTime
    google,128,false,"{}",10,0,0,$0.00027795,11.764,11.820
    aws,128,false,"{}",10,0,0,$0.00063013,30.076,30.130
    aws,192,false,"{}",10,0,0,$0.00068367,21.754,21.800
    aws,256,false,"{}",10,0,0,$0.00069867,16.663,16.710
    google,256,false,"{}",10,0,0,$0.00030385,6.422,6.470
    aws,320,false,"{}",10,0,0,$0.00071856,13.707,13.750
    aws,384,false,"{}",10,0,0,$0.00070679,11.224,11.270
    aws,448,false,"{}",10,0,0,$0.00069513,9.466,9.500
    google,512,false,"{}",10,0,0,$0.00043566,4.596,4.660
    aws,512,false,"{}",10,0,0,$0.00069909,8.317,8.360
    aws,576,false,"{}",10,0,0,$0.00067648,7.143,7.190
    aws,640,false,"{}",10,0,0,$0.00069721,6.617,6.670
    aws,704,false,"{}",10,0,0,$0.00067846,5.850,5.900
    aws,768,false,"{}",10,0,0,$0.00055617,4.377,4.430
    aws,832,false,"{}",10,0,0,$0.00067950,4.955,5.000
    aws,896,false,"{}",10,0,0,$0.00064263,4.347,4.390
    aws,960,false,"{}",10,0,0,$0.00054304,3.398,3.460
    aws,1024,false,"{}",10,0,0,$0.00062242,3.663,3.720
    google,1024,false,"{}",10,0,0,$0.00050786,3.005,3.050
    aws,1088,false,"{}",10,0,0,$0.00068773,3.820,3.870
    aws,1152,false,"{}",10,0,0,$0.00062117,3.248,3.300
    aws,1216,false,"{}",10,0,0,$0.00056252,2.782,2.830
    aws,1280,false,"{}",10,0,0,$0.00064617,3.054,3.090
    aws,1344,false,"{}",10,0,0,$0.00069804,3.138,3.180
    aws,1408,false,"{}",10,0,0,$0.00069221,2.953,3.010
    aws,1472,false,"{}",10,0,0,$0.00063252,2.574,2.630
    aws,1536,false,"{}",10,0,0,$0.00063742,2.474,2.540
    aws,1600,false,"{}",10,0,0,$0.00050242,1.871,1.920
    aws,1664,false,"{}",10,0,0,$0.00065513,2.355,2.410
    aws,1728,false,"{}",10,0,0,$0.00037929,1.299,1.340
    aws,1792,false,"{}",10,0,0,$0.00038742,1.274,1.320
    aws,1856,false,"{}",10,0,0,$0.00040117,1.288,1.320
    aws,1920,false,"{}",10,0,0,$0.00043367,1.340,1.380
    aws,1984,false,"{}",10,0,0,$0.00041898,1.256,1.290
    aws,2048,false,"{}",10,0,0,$0.00044575,1.303,1.330
    google,2048,false,"{}",10,0,0,$0.00064841,2.179,2.220
    aws,2112,false,"{}",10,0,0,$0.00045961,1.290,1.330
    aws,2176,false,"{}",10,0,0,$0.00046284,1.264,1.300
    aws,2240,false,"{}",10,0,0,$0.00048367,1.294,1.320
    aws,2304,false,"{}",10,0,0,$0.00051992,1.345,1.380
    aws,2368,false,"{}",10,0,0,$0.00049575,1.256,1.280
    aws,2432,false,"{}",10,0,0,$0.00052492,1.282,1.320
    aws,2496,false,"{}",10,0,0,$0.00054679,1.298,1.340
    aws,2560,false,"{}",10,0,0,$0.00055242,1.288,1.320
    aws,2624,false,"{}",10,0,0,$0.00058325,1.317,1.360
    aws,2688,false,"{}",10,0,0,$0.00059304,1.297,1.350
    aws,2752,false,"{}",10,0,0,$0.00059367,1.276,1.320
    aws,2816,false,"{}",10,0,0,$0.00060284,1.255,1.310
    aws,2880,false,"{}",10,0,0,$0.00060242,1.248,1.280
    aws,2944,false,"{}",10,0,0,$0.00063492,1.269,1.320
    aws,3008,false,"{}",10,0,0,$0.00064867,1.292,1.320
