Bucket arxiv-derivative-flattened contains 1798 matching objects
id,executionLatency,user,system,finalExecutionLatency,finalUser,finalSystem
0,1050,495,119,22,4947,1015
0,2051,857,167,22,4947,1015
0,3051,989,196,22,4947,1015
0,4051,1037,228,22,4947,1015
0,5051,1211,325,22,4947,1015
0,6051,1434,378,22,4947,1015
0,7060,1721,446,22,4947,1015
0,8061,1957,497,22,4947,1015
0,9063,2093,529,22,4947,1015
0,10064,2208,548,22,4947,1015
0,11064,2298,553,22,4947,1015
0,12063,2499,585,22,4947,1015
0,13064,2654,593,22,4947,1015
0,14064,2924,626,22,4947,1015
0,15064,3130,664,22,4947,1015
0,16071,3396,725,22,4947,1015
0,17071,3730,770,22,4947,1015
0,18072,3971,803,22,4947,1015
0,19073,4205,851,22,4947,1015
0,20075,4348,880,22,4947,1015
0,21075,4580,956,22,4947,1015
0,22075,4792,1003,22,4947,1015
1,1038,597,135,10,2925,702
1,2041,827,176,10,2925,702
1,3042,1100,255,10,2925,702
1,4042,1489,315,10,2925,702
1,5044,1740,367,10,2925,702
1,6044,1924,433,10,2925,702
1,7043,2167,482,10,2925,702
1,8044,2388,513,10,2925,702
1,9044,2637,587,10,2925,702
1,10044,2885,679,10,2925,702
2,1048,750,66,7,4301,652
2,2048,1469,184,7,4301,652
2,3049,2077,302,7,4301,652
2,4066,2591,408,7,4301,652
2,5066,3265,527,7,4301,652
2,6066,3642,549,7,4301,652
2,7066,4086,607,7,4301,652
3,1047,636,154,10,4840,1062
3,2047,1293,317,10,4840,1062
3,3047,1865,488,10,4840,1062
3,4047,2366,553,10,4840,1062
3,5057,2761,669,10,4840,1062
3,6058,3294,786,10,4840,1062
3,7061,3630,857,10,4840,1062
3,8061,4061,932,10,4840,1062
3,9061,4396,987,10,4840,1062
4,1042,428,235,14,3865,2867
4,2042,694,516,14,3865,2867
4,3042,982,747,14,3865,2867
4,4045,1338,975,14,3865,2867
4,5046,1573,1208,14,3865,2867
4,6046,1760,1310,14,3865,2867
4,7046,1967,1461,14,3865,2867
4,8047,2238,1660,14,3865,2867
4,9048,2612,1939,14,3865,2867
4,10048,2809,2066,14,3865,2867
4,11048,3105,2266,14,3865,2867
4,12051,3325,2427,14,3865,2867
4,13051,3581,2607,14,3865,2867
4,14051,3799,2839,14,3865,2867
5,1048,742,170,3,2139,436
5,2050,1428,352,3,2139,436
6,1046,502,121,21,4664,1212
6,2048,749,153,21,4664,1212
6,3047,1005,245,21,4664,1212
6,4048,1174,319,21,4664,1212
6,5049,1427,406,21,4664,1212
6,6049,1650,475,21,4664,1212
6,7050,1829,526,21,4664,1212
6,8050,2023,550,21,4664,1212
6,9050,2203,587,21,4664,1212
6,10050,2396,616,21,4664,1212
6,11052,2629,650,21,4664,1212
6,12052,2826,661,21,4664,1212
6,13052,3004,739,21,4664,1212
6,14052,3178,812,21,4664,1212
6,15051,3356,895,21,4664,1212
6,16052,3585,972,21,4664,1212
6,17053,3787,999,21,4664,1212
6,18056,3960,1025,21,4664,1212
6,19055,4246,1076,21,4664,1212
6,20057,4494,1136,21,4664,1212
7,1048,731,213,17,4862,1082
7,2049,1072,325,17,4862,1082
7,3048,1462,362,17,4862,1082
7,4049,1529,371,17,4862,1082
7,5050,1942,441,17,4862,1082
7,6051,2191,506,17,4862,1082
7,7051,2433,556,17,4862,1082
7,8051,2891,608,17,4862,1082
